AIPPID,Title,AltTitle,Type,Media Identifier,Medium,Location,Artist(s),Date,Dimensions,Marks,Subject,Owner,Condition,References,HistoricalSubject,PublicSpace,Exterior/Interior,RecordCreationDate,Remarks,Latitude,Longitude,In Progress,Deaccessioned
210,Sam Davis of Tennessee,Sam Davis Statue,Monument,Bronze,Bronze on a limestone base,Tennessee State Capitol,"Zolnay, George Julian",1909,7'H x 2'W x 3'D ft,"On proper left side: Roman Bronze Works-N.Y.
On front of plinth: SAM DAVIS
On base at left: G.J. ZOLNAY - Sculptor 1908
On bronze plaque on west side of base: Sam Davis/When the Lord calls up Earth's heroes/to stand before His face/O many a name unknown to fame/shall ring from that high place;/Then out of the grave in the Southland/at the just God's call and beck/shall one man rise with fearless eyes/with a rope about his neck/O Southland: bring your laurels/and add your wreath O North!/Let glory claim the hero's name and tell the world his worth/Ella Wheeler Wilcox
On bronze plaque at east side of base: 1842 Sam Davis 1863/""The boys will have to fight/the battles without me.""/He gave all he had-/life:/He gained all he lacked-immortality./This monument is erected by contributions from citizens in every state in the American Union, on the site authorized by the 51st General Assembly of the State of Tennessee.
On bronze plaque on south, front side of base: Sam Davis of Tennessee Born October 6, 1842, near Murfreesboro, Tennessee. Educated at the Western Military Institute, at Nashville in November, 1863, when on duty, uniformed in Confederate butternut and grey, Davis was captured in his native state then within the Federal lines. Important papers, descriptive of the Federal fortifications and forces, were found upon his person. These papers had been given Davis by Captain Shaw, who had also been captured and was confined in the same prison./Davis was tried by courtmartial, condemned to death and executed at Pulaski, November 27. The Federal commander offered Davis his life if he would give him the papers. To this offer, under the very shadow of the gallows, Davis made his immortal reply: "" I would die a thousand deaths before I would betray a friend.""/Greater love hath no man than this-that a man lay down his life for his friends."" signed Founder's mark appears.","A statue of Sam Davis, a boy hero of the Confederate Army. Davis stands with arms crossed. He wears a short jacket, belt with buckle marked with ""CSA"" and knee-length boots. His coat is draped behind him. His proper right leg is slightly bent and slightly forward. He stands atop a limestone base with bronze plaques attached.
Portrait male -- Davis, Sam -- Full length
History -- United States -- Civil War
Occupation -- Military -- Soldier
Dress -- Uniform -- Military Uniform","State of Tennessee, General Services Dept.",Surveyed 1992 Feb. Well maintained. Guano on sculpture and base.,"Save Outdoor Sculpture, Tennessee survey 1992
Civil War Centennial Commission of Tennessee, ""Directory of Civil War Monuments and Memorials in Tennessee, "" Nashville, 1963, pg 20.",TRUE,TRUE,TRUE,9/2/98,"IAS files contain a related article from Civil War Centennial Commission of Tennessee which records the inscriptions on the sculpture.
Kinney, Belle, 1890-1959, sculptor
Scholtz, Leopold F., 1877-1946, sculptor
Hart, Russel E., architect",36.165103,-86.784267,FALSE,FALSE
213,Square Cubist Shape,,Sculpture,Unknown,,Vanderbilt University - Godchaux School,"Mims, Puryear",,Approx. 11-3/4 x 9-3/4 x 10 inches,Unsigned,An abstract sculpture made up of straight lines and facets and having the overall shape of a cube.,Godchaux School of Nursing,"Surveyed November 1992. Treatment needed. Evidence of guano, organic growth, and a granular surface on sculpture. Water collects in recessed areas.","Save Outdoor Sculpture, Tennessee survey 1992.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
215,Donna Allen Memorial,,Monument,Concrete,Fiberglass reinforced concrete,West End Methodist Church,"LeQuire, Alan",1981,Sculpture: approx. 30x40x24 in; Base: approx. 4x48x24in.,(Stamped on back) LEQUIRE signed,"A full-length figure of a woman, slightly smaller than life-size. She is seated and gazes reflectively down and to the proper left. Her hair is pulled back in a bun and she wears a sleeveless, knee-length dress. Her proper right arm is straight and her proper right hand rests on the ground beside her.
Portrait female -- allen, Donna Leigh -- Full length",West End Methodist Church,"Surveyed June 1992. Well-maintained. Sculpture is coated and there were slight cracks in coating. Evidence of guano and organic growth on sculpture. Water collects in lap area, but drains, leaving a residue.","Save Outdoor Sculpture, Tennessee survey 1992.",TRUE,FALSE,TRUE,9/3/98,"Inscription on plaque on wall, about 5 ft. to the left and above the sculpture reads: In Memorium/Donna Leigh Allen/November 2, 1956 - May 4, 1980.",,,FALSE,FALSE
216,St. George and the Maiden,,Fountain,Bronze,Multipart fountain.  Maiden is bronze on a stone base; wall relief: bronze.,Saint George's Episcopal Church,"Toomey, Dana",1989,Maiden: 7 ft; wall relief: 9x6 ft,,"A two-piece monumental bronze sculpture installation. A figure of a maiden, wearing a flowing sleeveless dress, stands on a depiction of a stone which crushes a dragon beneath it. The maiden has long hair and steps forward on her bent proper left leg. Her apron or skirt is draped over her proper left forearm, and holds several flowers. The maiden walks behind a garden fountain. Behind her on the wall is a relief of St. George fending off the dragon. St. George, wearing a suit of armor, is seated on his horse and stabs a long spear into the head of the dragon. According to the legend of St. George, a king's daughter was to be sacrificed to the dragon, but St. George intervened and killed the dragon.
Religion -- New Testament -- St. George
Figure female -- Full length
Fantasy -- Dragon",Saint George's Episcopal Church,Surveyed 1992 July. Well-maintained.,"Save Outdoor Sculpture, Tennessee survey 1992.",FALSE,FALSE,TRUE,9/3/98,"Dedicated April 23, 1989
Founder: Cavalier Renaissance Foundry. This piece evolved from terra cotta models to half life-size plaster models, to life-size plastilene and then wax models. The work was cast in the traditional lost wax method. The work was commissioned by Dr. and Mrs. Roland L??? for the church. IAS files contain a church brochure which provides a bit more detail on the legend of St. George and Dana Toomey's interpretation of it.",,,FALSE,FALSE
217,Papa and the Boys,,Sculpture,Bronze,Bronze on a stone base.,Temple Ohabai Sholom,"Davis, Gary M.",1985,Sculpture: 11-1/2x11-1/2x7 in.; Base: 40x12-1/2x8-3/4in.,"On back of sculpture: (copyright symbol): GARY M. DAVIS/1985
V-F Blue Field Foundry. On plaque, front of base: "" A GOOD MAN/LEAVES AN/INHERITANCE TO/HIS CHILDREN'S/CHILDREN.""/PROVERBS. On plaque, back of base: TITLE/PAPA/AND THE BOYS. Signed Founder's mark appears.","Old man and two boys in fond embrace. The man is in the center with a boy on each side. The man's figure is bust-length, the boy's figure on the man's proper right is bust-length, and the boy's figure on the man's proper left is thigh-length. None of the figures is wearing a shirt. The boy to the proper left wears shorts.
Figure group -- Family -- Father & Child
Allegory -- Life -- Manhood",Temple Ohabai Sholom,Surveyed 1992. Well-maintained. There is some metallic staining on the base.,"Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,FALSE,TRUE,9/3/98,"Davis, Gary M., sculptor
Bulu Field Foundry, founder",36.107942,-86.864148,FALSE,FALSE
218,Pomegranate Gates,,,Bronze,Cast Nickel Bronze,Temple Ohabai Sholom,"Halahmy, Oded",1984,Sculpture: 83x42-1/2 in.; Base: H. 5in. W. 13in.,"Oded Halahmy one of 5 pieces. (On center of arch, at top, in Hebrew): Joseph is a fruitful bough, a fruitful bough by a spring. Gen 49, 22. Signed.","An arch gate with nine pomegranates across the top of the arch. On each side at the top of the arch is a relief of a hand, symbolizing priestly blessing. The two side posts are rectangular and each is set on individual block-like footings.  At the top of the arch is a large pomegranate in the center with four smaller ones on either side. A molded lion of Judah is located on each side of the arch at the front.
Religion -- Judaism
Object -- Fruit -- Pomegranate
Figure -- Fragment -- Hand
Animal -- Lion",Temple Ohabai Sholom,Surveyed 1992 April. Well-maintained. Sculpture is varnished and varnish is in good condition.,"Save Outdoor Sculpture, Tennessee survey 1992.",FALSE,FALSE,TRUE,9/3/98,"Halahmy, Oded, 1938 -     , sculptor",,,FALSE,FALSE
219,Succah,Sukkah,Sculpture,Iron,"Wrought iron/cast iron, painted, on a concrete patio",Temple Ohabai Sholom,"Limor, Irwin",,Approx 12x15x20 ft.; Patio: 20x36 ft,"Irvin Limor, signed","A sukkah consisting of two wrought iron trees holding eleven cross bars from which Stars of David (Mogen David) hang. Branches forming a canopy extend four feet beyond the tree trunks. One tree has a dove with an olive branch attached to an upper limb. The Sukkah is traditionally a temporary structure with a roof built to celebrate the Sukkot festival, a Jewish festival celebrating the fall harvest and commemorating the desert wandering of the Hebrews during the time of the Exodus.
Architecture -- Religious -- Sukkah
ceremony -- Festival -- Sukkot
Religion -- Judaism
Landscape -- Tree
Animal -- Bird -- Dove
Allegory -- Civic -- Peace",Temple Ohabai Sholom,"Surveyed 1992. Treatment needed. The sculpture is painted, but there is some flaking and peeling. There is also evidence of weathering and rusting on the trees.","Save Outdoor Sculpture, Tennessee survey 1992",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
220,Untitled,,Sculpture,Bronze,Bronze on Indiana limestone.,Temple Ohabai Sholom,"Silberman, Helen E.",1982,Sculpture: 9-1/2x9-1/2 in; Base: 32x10x10 in.,"Helen Epstein Silberman; On front of base: ONE MUST BE GENTLE/WITH GENTLE HEART/AND GENTLE HANDS./REACH OUT AND HOLD./HOLD AND LET GO./HOFFMANNSTHAL. On base of base, on plaque: ""Untitled""/by/Helen Epstein Silberman/Signed","An abstract form balanced on one point. The surface of the piece is textured. The shapes suggest flight or motion.
Abstract",Temple Ohabai Sholom,"Surveyed 1992 April. Well-maintained. Evidence of guano, pitting, and metallic staining on sculpture. Evidence of metallic staining on base.","Save Outdoor Sculpture, Tennessee survey 1992.",FALSE,FALSE,TRUE,9/3/98,"Silberman, Helen Epstein, sculptor.
The piece was cast at a foundry in Bell Buckle, Tennessee.",,,FALSE,FALSE
221,Felix Ansel Salzkotter,,Sculpture,Marble,Italian marble sculpture on a concrete slab.,Temple Ohabai Sholom Cemetery,Unknown,1872,Sculpture: 38x28x14 in; Base: 12-1/2x33x17-1/2 in; Concrete slab: 38x24in.,"On front of base: SACRED TO THE MEMORY OF/FELIX ANSEL SALZKOTTER/BORN DEC. 20, 1861/DIED OCT. 31, 1872. Unsigned.","A young boy wearing calf-length pants, a jacket, and calf-length boots with scalloped edges. He rests his proper right elbow on a pedestal, and his proper right hand is raised to his ear. The boy's proper right leg is crossed over his proper left. His proper left arm is relaxed with his thumb in his pocket. In front of the pedestal is a silhouette of a plant. The base of the sculpture is tiered and rests on a concrete slab.
Portrait male -- Salzkotter, Felix Ansel -- Full length
Object -- Foliage",Temple Ohabai Sholom Cemetery,Surveyed 1992 April. Well-maintained. A finger is missing and surface details are eroding. The surface has a granular or sugary appearance.,"Save Outdoor Sculpture, Tennessee survey 1992",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
222,"Truth, Justice, Peace",,Relief,Marble,Alabama Marble,Temple Ohabai Sholom,"Kaz, Nathaniel",1955,H. 9 ft.,(Written in Hebrew at the top of the relief): Kodosh,"A relief attached to a curved exterior wall of a synagogue. The highly stylized relief depicts three bearded rabbis in a militant pose representing Truth, Justice and Peace. The figure on the right, representing Justice, holds balance scales as if they were the shaft of a sword.
Religion -- Judaism
Allegory -- Quality -- Truth
Allegory -- Quality -- Justice
Allegory -- Civic -- Peace
Occupation -- Religion -- Rabbi
Abstract",Temple Ohabai Sholom,Surveyed 1992. Well-maintained.,"Save Outdoor Sculpture, Tennessee survey 1992. Kampf, Avram ""Contemporary Synagogue Art: Developments in the United States, 1945-1965; "" New York: Union of American Hebrew Congregations, 1966, pg. 102-103.",FALSE,FALSE,TRUE,9/3/98,"Kaz, Nathaniel, 1917-    . Sculptor.
Katz, Raymond, designer.
Nathaniel Kaz sculpted the piece based on a design by A. Raymond Katz, who used the text from Pirke Avot (ch. 1) which is recorded on a nearby marker: ""On three things the world is founded: on Truth, Justice and Peace.""",,,FALSE,FALSE
223,Donna Allen Memorial,,Sculpture,Marble,Sculpture: Carrera marble;   base: Tennessee black marble,Cheekwood Botanical Garden and Museum of Art,"Benneyworth, Steve",1980,Sculpture: 15-1/2x30x14 in;base: 6-3/4x17-1/2x10 in. platform,Unsigned,Abstract,Cheekwood Botanical Garden and Museum of Art,"Surveyed 1993 August. Well-maintained. Sculpture has been damaged from a fall from the base. The underside of the work is abraded. Evidence of broken parts, cracks and organic growth on sculpture.","Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
224,Torso of Adam,,Sculpture,Bronze,Torso: bronze;  Base: marble.,Cheekwood Botanical Garden and Museum of Art,"Bourdelle, Emile A.",1889,Torso: 31x25-1/2x13-1/2 in; base: 44-1/2x24-1/4x21in.,By Bourdelle E. Godard. On front of base: In memory of Walter Buchanan Sharp. Signed. Founder's mark appears.,"Large head-less, arm-less torso of nude man.
Figure male -- Torso
Figure male -- Nude
Religion -- Old Testament -- Adam & Eve",Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Well-maintained. Torso is waxed and wax is in good condition. Evidence of guano on torso. Evidence of cracks in base.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,"Bourdelle, Emile Antoine, 1861-1929, sculptor
E. Godard, founder.
Copyrighted 1889.
Dedicated 1971.",,,FALSE,FALSE
225,Wichita,,Sculpture,Steel,Cor-Ten steel,Cheekwood Botanical Garden and Museum of Art,"Crouch, Ned P.",1976,Approx. 8x23x15-1/2 ft.,Unsigned,"Abstract-geometric
Allegory -- Place -- Wichita",Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Well-maintained. Cor-Ten steel structure has rusted. Evidence of guano and organic growth on sculpture.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,"Crouch, Ned Philbrick, 1948-    , sculptor.",,,FALSE,FALSE
226,Untitled,,Fountain,Bronze,Bronze,Cheekwood Botanical Garden and Museum of Art,"Gibson, Jim",1975,Approx. 66x16x18 in.,Unsigned,"Abstract, multi-level fountain with organic motif.
Abstract
Object -- Foliage",Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Well-maintained. Evidence of moss on leaf-like projections of fountain.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
227,Floor Kite Series:  Untitled,Untitled (Sculpture),Sculpture,Steel,Welded Cor-Ten Steel,Cheekwood Botanical Garden and Museum of Art,"Green, Jasha",1976,Approx. 44x96x40 in.,Unsigned,"Abstract -- Geometric. 
Object -- Toy -- Kite",Cheekwood Botanical Garden and Museum of Art,"Surveyed 1993 August. Well-maintained. Cor-Ten steel sculpture has rusted. Evidence of guano, organic growth and white crusts on sculpture.","Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
228,Large Votive III,,Sculpture,Bronze,Bronze,Cheekwood Botanical Garden and Museum of Art,"Koenig, Fritz",1963,Approx. 68x40-1/2 in.,Koenig. Signed.,Abstract,Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Treatment urgent. Sculpture is waxed. A large crack is present at the bottom of the sculpture which is in danger of breaking. Evidence of guano and metallic staining on sculpture.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,"Koenig, Fritz, 1924-    , sculptor",,,FALSE,FALSE
229,Vee I,,Sculpture,Aluminum,Aluminum,Cheekwood Botanical Garden and Museum of Art,"Mohr, Larry",,Approx. 82x107x40-1/2 inches,Larry Mohr signed,"Abstract-geometric sculpture of intertwining letter ""V""s.
Abstract -- Geometric",Cheekwood Botanical Garden and Museum of Art,"Surveyed 1993 August. Treatment needed. Some rust and plant material evident. Evidence of cracks, guano, metallic staining and white crusts.","Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,"Mohr, Larry, 1921   , sculptor
For related articles, see Arts Magazine (March 1977) and Arts Magazine (May 1977).",,,FALSE,FALSE
230,Untitled,,Sculpture,Steel,Stainless steel on a concrete base.,Cheekwood Botanical Garden and Museum of Art,"Peacock, Dennis",1969,Sculpture: 5 ft x 30inx20in; Base: 3 ft x 24 in.,"On central part of sculpture, stamped in metal: D. Peacock '69. Signed.","An abstract sculpture consisting of hollow built forms of stainless steel on a round concrete base. The primary shapes are two vertical blade-like forms.
Abstract",Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Well-maintained.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,"Peacock, Dennis, 1942-    , sculptor
Acquired 1974
For a related article see ""Dennis Peacock,"" Cheekwood Botanical Gardens and Fine Arts Center, 1973. The concrete base was provided by Jack Hastings at Cheekwood.",,,FALSE,FALSE
231,Waiting for the Infinite,,Sculpture,Marble,Sculpture: Tennessee pink marble;  Base: limestone.,Cheekwood Botanical Garden and Museum of Art,"Ralston, William",,Sculpture: approx. 17-1/2 x 14-1/2 x 5-1/2 inches,"Front of base: ""Waiting for the Infinite"" by William Ralston, The Nashville Artist Guild. In memory of Sue Vernon. Signed.",Abstract,Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Well-maintained. Evidence of organic growth on base.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
232,Monticello Stone Lions,,Sculpture,Stone,"Each lion:  stone 
Each bse:  marble",Cheekwood Botanical Garden and Museum of Art,Unknown,Late 19th Century,See remarks for lions; Bases: 3x71-3/4x26 inches,Unsigned,"A pair of large, ornamental lions.
Animal -- lion",Cheekwood Botanical Garden and Museum of Art,"Surveyed 1993 August. Treatment needed. Evidence of broken parts, cracks, guano, pitting, organic growth and spalling on lions. Evidence of pitting on base.","Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,"Formerly located Belle-Meade Plantation, Monticello, Virginia
These lions were made by late owners of Monticello. 
First lion measures approx. 40-1/2 x 52-1/2 x 15-1/2 inches. 
Second lion is approx. 40-1/2 x 54-1/4 x 14-1/2 inches.",,,FALSE,FALSE
233,Untitled,,Sculpture,Limestone,Limestone,Cheekwood Botanical Garden and Museum of Art,Unknown,,Approx. 20x20x15 inches,Unsigned,Abstract,Cheekwood Botanical Garden and Museum of Art,"Surveyed 1993 August. Well-maintained. Evidence of cracks, guano, pitting and organic growth on sculpture. Water collects in well in top of sculpture.","Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
234,Gong or Slit Drum,,Sculpture,Wood,Sculpure: wood; Base: wood,Cheekwood Botanical Garden and Museum of Art,Unknown,Late 19th Century,Sculpture: 12 ft x 15 in x 18-1/2 in;  Base:  5 in. x 4 ft x 5 ft,Unsigned,"Large, wooden ceremonial drum.
Object --Musical Instrument -- drum",Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Treatment needed. Wood shows evidence of decay. Moss growing at bottom of sculpture. Evidence of broken parts and cracks in sculpture. Water collects in recessed areas. Evidence of cracks and guano on base.,"Save Outdoor Sculpture, Tennessee survey 1993.",FALSE,FALSE,TRUE,9/3/98,,,,FALSE,FALSE
235,Admiral Albert Graves,,Sculpture,Bronze,Bronze,United States District Court - Middle Tennessee,"Kinney, Belle",,"4 ft x 1 ft, 3 inches",,"Portrait male - Albert Graves
Occupation -- Military -- Admiral",Administered by General Services Administration,,"United States General Services Administration, 1988",TRUE,TRUE,FALSE,9/3/98,"Kinney, Belle, 1890-1959, sculptor
This piece was part of the New Deal Art program.",,,FALSE,FALSE
236,Encada,,Graffiti,Paint,,625 Fogg Street,"Borem, Jonah",,,,,,,,FALSE,FALSE,TRUE,9/3/98,,36.150789,-86.775763,FALSE,FALSE
238,"Wall mural of teachers, students and families",,Mural,Paint,,Caldwell Elementary School,"Threalkill, James and students",1994,,,,,,,FALSE,TRUE,TRUE,9/3/98,,,,FALSE,FALSE
239,Underwater Scene,,Mural,Paint,,McFerrin Community Center,Neighborhood children supervised by artists,1996,,,,"Metro Gov. of Nashville & Davidson Co, Parks & Rec",,,FALSE,TRUE,FALSE,9/3/98,Funded by FOCUUS grant,36.182275,-86.767386,FALSE,FALSE
241,Desert Scene,,Mural,Paint,,J.C. Napier Community Center,Neighborhood children supervised by artists,1996,,,,"Metro Gov. of Nashville & Davidson Co, Parks & Rec",,,FALSE,FALSE,FALSE,9/3/98,Funded by Links Drug Elimination grant,36.150707,-86.756719,FALSE,FALSE
242,Mare and Foal,,Sculpture,Bronze,Bronze,Belle Meade Boulevard,"Reardon, Gwen",1996,,,Life-size bronze mare and foal,City of Belle Meade,,,FALSE,TRUE,TRUE,9/3/98,,36.119289,-86.854896,FALSE,FALSE
243,Timothy Demonbreun,,Sculpture,Bronze,,Riverfront Park,"LeQuire, Alan",1996,,"Plaque on the base of the statue reads: 
Jacques Timothe Doucher de Montbrun (Timothy Demonbreun)/1747-1826/French Canadian Fur Trader and Explorer/Officer of the American Revolution/Lieutenant Governor of the Illinois Territory/Honored as Nashville's ""First Citizen""/Sculptor: Alan Lequire/Plaque donated in memory of: Dr. Truman Weldon Demunbrun, president of the Timothy Demonbreun Heritage Society 1977-1996",Timothy Demonbreun kneeling on his left knee holding a gun.,Metro Gov. of Nashville Board of Education,,,TRUE,TRUE,TRUE,9/3/98,"Demonbreun (1747-1826) was a French-Canadian fur trader. He was an officer in the American Revolution and became the ""first citizen"" of Nashville, developing a very successful fur trading business on the Public Square.",36.166569,-86.776474,FALSE,FALSE
247,Flights of Fantasy,,Mosaic,Stone,,Nashville International Airport,"Hunter, Sherri Warner",1996,,,An interactive play and rest area outside of the Ground Transportation area. Four mosaic sculptures and a mosaic bench portraying a smiling airplanes and a flying carpet. The bench depicts various flying creatures along a blue sky with clouds and the sun.,Nashville International Airport,,http://www.flynashville.com/arts/fantasy.aspx,FALSE,TRUE,TRUE,9/4/98,,36.13163,-86.668839,FALSE,FALSE
248,Airport Sun Project,,Sculpture,Unknown,Light interference and transformation panels,Nashville International Airport,"Eldred, Dale",1989,,,Colorful panels along the truss system and ticketing lobby wall that change dependent upon sun and shadows.,Nashville International Airport,,http://www.nashintl.com/arts/sun_project.aspx,FALSE,TRUE,FALSE,9/4/98,"Eldred said this project was about ""the nature of physics and the nature of nature."" It comments on the earth's ever-changing relationship with the sun and the earth's rotation.",36.130808,-86.668974,FALSE,FALSE
249,Fourth and Commerce Sculpture,,Sculpture,Bronze,,AT&T Building,"Walker, Lin",1994,,,,,,,FALSE,FALSE,TRUE,9/4/98,,36.162338,-86.777739,FALSE,FALSE
250,Lightning Wire Fountain,,Fountain,Metal,,AT&T Building,"Walker, Lin",1994,,,,,,,FALSE,FALSE,FALSE,9/4/98,,36.162335,-86.777098,FALSE,FALSE
252,Sanctuary with Egyptian Fresco,,Fresco,Paint,Egyptian Revivalist frescoed perspective painting,Downtown Presbyterian Church,"Schleicher, John and Knock, Theo",1982,,,"The walls of the Santuary of Downtown Presbyterian Church are painted in an Egyptian style with columns in bright shades of green, yellow, blue, red, and taupe.",Downtown Presbyterian Church,,www.tennesseeencyclopedia.net/entry.php?rec=397,FALSE,FALSE,FALSE,9/4/98,"Downtown Presbyterian Church (originally First Presbyterian Church) was constructed from 1849-51 and designed by William Strickland. Strickland designed the building in the Egyptian Revival style. The interior of the Sanctuary was first painted in 1880-82 to match to Egyptian Revival style. The fresco has been repainted and touched-up four times since then, the last time being 1950.",36.163107,-86.779807,FALSE,FALSE
254,The Man of Love and Wisdom,,Sculpture,Steel,Burnished steel,St. Thomas Hospital Medical Plaza,"Williams, Terry",1991,,,A confident man walking forward with an outstretched hand gesturing support and encouragement to his audience. He has a heart inscribed on one arm and an owl sitting on his shoulder.,,,http://www.nashvillewineauction.com/about-lipman-award/,FALSE,FALSE,TRUE,9/4/98,"This statue commemorates Norman Lipman, who was a leader in the wine and spirits industry as well as a generous humanitarian. He founded l’Eté du Vin, which is an international wine-auction fundraiser, which has raised $15 million since 1980. Lipman died in 1982 after battling cancer. Her received treatment at St. Thomas Hospital, where this statue is on permanent loan.",,,FALSE,FALSE
260,Sands of Time,,Sculpture,Bronze,Bronze,Vanderbilt University,"Langenkamp, Lucy",1998,,,"""...represents a young woman leaping through the hour glass of time.  The top cone is the future sand that has not fallen yet.  The bottom cone is the past sand that has already fallen and the present moment, where we all are right now; every moment of our lives, this entire world and multi-universes, is the dancer. She leaps and strives with her utmost grace, strength and technique to create the future ofher dreams--the upper sand that has not fallen yet."" --Lucy Langenkamp",Vanderbilt University,,"Tennessean 12/4/98, ""The Creative Process"" program for the opening of the exhibit",FALSE,FALSE,TRUE,3/24/99,,36.148312,-86.80474,FALSE,FALSE
262,Eternal Hope,,Sculpture,Bronze,Bronze,Vanderbilt University,"Nossoughi, Christine",1998,,,"A horse stands on its hind legs, while a man sits on the ground beneath the horse, looking up with his arm outstretched, touching the horse's stomach.",Vanderbilt University,,"Tennessean 12/4/98, ""The Creative Process"" program for the opening of the exhibit",FALSE,FALSE,TRUE,3/24/99,,36.146216,-86.800983,FALSE,FALSE
263,Memory Return,,Sculpture,Bronze,Bronze,Vanderbilt University,"Hirsch, Ann",1998,,,"Two nude figures of a woman and a girl.  The woman bends over the girl who leans towards her at waist level. 
""...the description of two moments in one woman's life as represented by two figures as weel as  description or the act of remembering.  The older woman is remembering while she is simultaneously an image of her own memory.  The child also represents the memory of the older woman.  Memory is construed metaphorically as a time mirror, for we view the woman looking at herself at an earlier time."" --Ann Hirsch",Vanderbilt University,,"Tennessean 12/4/98, ""The Creative Process"" program for the opening of the exhibit",FALSE,FALSE,TRUE,3/24/99,,36.147664,-86.803368,FALSE,FALSE
264,Condition of Man,,Sculpture,Bronze,Bronze,Vanderbilt University,"Fuchs, Larisa",1998,,,"Four figures of nude men.  One appears to be running, one kneeling, one sitting and hunched over his legs, and one standing on his head.  A mobius strip is used to represent the cyclical nature of history as it spirals toward infinity.",Vanderbilt University,,"Tennessean 12/4/98, ""The Creative Process"" program for the opening of the exhibit",FALSE,FALSE,TRUE,3/24/99,,36.146948,-86.801804,FALSE,FALSE
265,Piecing It All Together,,Mural,Paint,,Church Street Park,"Cooper, Michael",1999,40 feet x 150 feet,,Three workmen--the artist and the building's two owners--are shown putting the building facade together like a jigsaw puzzle.,"Greer, Ronny and Dwight Work",,Tennessean 3/31/99,FALSE,FALSE,TRUE,3/31/99,,36.162808,-86.781862,FALSE,FALSE
266,Untitled,,Mural,Oil,Oil on canvas attached to board,U.S. Postal Service - Broadway,"Shaver, Sharon Rusch",1999,6'H x 18'W,,World War II people leaving on trains from Union Station in Nashville.  Communication through the US Postal Service.,U.S. Postal Service,,,TRUE,TRUE,FALSE,11/10/99,,,,FALSE,FALSE
267,Dancing on Air,,Sculpture,Aluminum,Airframe aluminum and metal foil,Nashville International Airport,"Hastings, Jack",1999,15'L each,,2 mobiles with colorful bent metal pieces,Nashville International Airport,,http://www.nashintl.com/arts/dancing_on_air.aspx,FALSE,TRUE,FALSE,3/13/00,Mobiles in the terminal are light enough to move as passengers come and go. Their colors compliment the white walls of the airport and their playfulness compliments the live music often heard at the airport.,36.131318,-86.669286,FALSE,FALSE
268,Can-Do,,Sculpture,Metal,Painted metal,12South Neighborhood,"Lucking-Reilley, Mary",1999,,,Trash can created by artist and children,Metropolitan Government of Nashville and Davidson,,,FALSE,TRUE,TRUE,3/13/00,,36.121614,-86.79027,FALSE,FALSE
269,Threshold,,Sculpture,Steel,Found metal objects,East Bank Greenway,"Sorci, Joe",1999,"180"" diameter",,installation of found industrial metal,Metropolitan Government of Nashville and Davidson,,http://www.joesorci.com/indexa.html,FALSE,TRUE,TRUE,3/13/00,,36.165380,-86.773642,FALSE,FALSE
